country,eu,continent,renewable.total,all.sources,renewable,main.renewable,hydro,wind,biomass,solar,geothermal
Nigeria,n,africa,18.60%,"30,897",5750,hydro,5721.2,3,0,25.8,0
Norway,y,europe,97.20%,"149,630",145378.9,hydro,144005,2116,233,23.8,0
Oman,n,asia,0.00%,"34,210",3.7,solar,0,0,0,3.7,0
Pakistan,n,asia,32.70%,"114,003",37248.7,hydro,34366,786.3,1506.1,590.4,0
Palau,n,asia,0,0,1.7,solar,0,0,0,1.7,0
Palestine,n,asia,0,0,42.5,solar,0,0,0,42.5,0
Panama,n,namerica,66.60%,"10,886",7255.1,hydro,6522.5,625.2,30.9,76.5,0
Papua New Guinea,n,samerica,0,0,1288.9,hydro,876.6,0,11,1.3,400
Paraguay,n,samerica,100%,"63,771",63902.3,hydro,63770.2,0,132.1,0,
Peru,n,samerica,50.10%,"51,923",26030.1,hydro,24171.7,1063.8,493.5,301.1,
Philippines,n,asia,24.30%,"90,797",22030.5,hydro,8833,975,777.5,1097,11070
Poland,y,europe,13.70%,"166,635",22807,wind,2622,12588,7955,124,
Portugal,y,europe,53.50%,"60,280",32262,hydro,16909,12474,3071,822,172
Puerto Rico,n,namerica,0,0,388.9,wind,71,193,7,117.9,
Qatar,n,asia,0.30%,"42,307",123.2,biomass,0,0,114.8,8.4,
Reunion,n,africa,0,0,1003.7,hydro,464.5,18.5,261.2,259.5,
Romania,y,europe,41.40%,"65,103",26969.1,hydro,18536,6590,531,1820,0.1
Russia,n,europe,16.90%,"1,090,973",184171.6,hydro,185668,6,32,79.3,414
Rwanda,n,africa,0,0,342.1,hydro,324.6,0,1.9,15.7,
Samoa,n,oceania,0,0,50,hydro,37.9,1.5,0,10.6,
Sao Tome & Principe,n,oceania,0,0,6,hydro,5.9,0,0,0.1,
Saudi Arabia,n,asia,0.00%,"344,809",129.2,solar,0,0,0,129.2,
Senegal,n,africa,10.40%,"4,457",461.4,hydro,359.4,0,15.1,86.9,
Serbia,n,europe,27.60%,"39,342",10865,hydro,11520,26,35,12,
Seychelles,n,africa,0,0,9.9,solar,0,7,0,2.9,
Sierra Leone,n,samerica,0,0,220.4,hydro,219.9,0,0,0.4,
Singapore,n,asia,1.60%,"51,667",824.3,biomass,0,0,671.7,152.6,
Slovakia,y,europe,24.50%,"27,064",6629,hydro,4606,6,1731,533,
Slovenia,y,europe,30.60%,"16,500",5057,hydro,4782,6,281,267,
Solomon Islands,n,oceania,0,0,3.6,solar,0.8,0,0,2.8,
Somalia,n,africa,0,0,8.6,wind,0,4.9,0,3.7,
South Africa,n,africa,3.20%,"252,747",8074,hydro,3892.5,3697.7,437.3,3340.5,
South Sudan,n,africa,0.10%,439,0.6,solar,,,,0.6,
Spain,y,europe,38.10%,"274,779",104639.3,wind,39865,48906,5689,13649,
Sri Lanka,n,asia,27.70%,"14,284",3949.9,hydro,3506.8,346,37.9,59.3,
St Kitts and Nevis,n,namerica,0,0,10.7,wind,0,7.6,0,3.1,
St Lucia,n,namerica,0,0,1.3,solar,0,0,0,1.3,
St Maarten,n,namerica,0,0,0,solar,0,0,0,,
St Martin,n,namerica,0,0,2.6,solar,0,0,0,2.6,
St Vincent & the Grenadines,n,namerica,0,0,26.6,hydro,24.7,0,0,1.9,
Sudan,n,africa,56.70%,"14,429",8182,hydro,8051,0,110.5,20.5,
Suriname,n,samerica,58.30%,"2,022",1178.7,hydro,1163.5,0,6.5,8.8,
Sweden,y,europe,57.10%,"156,010",89127.1,hydro,62137,15479,11487,143,
Switzerland,n,europe,59.80%,"63,175",37809,hydro,36689,109,1743,1333,
Syria,n,asia,5.30%,"18,112",963.5,hydro,929,1.1,33.5,0,
Tajikistan,n,asia,97.50%,"17,232",16800,hydro,16800,0,0,0,
Tanzania,n,africa,37.10%,"6,998",2597.5,hydro,2444.1,0,135.2,18.2,
Taiwan,n,asia,4.20%,"264,136",10973.1,hydro,9855.7,1457.1,1822.6,1132.2,
Thailand,n,asia,13.10%,"191,321",25046.9,biomass,4127.8,345,17672.6,3377,1.3
Timor Leste,n,asia,0,0,2.3,hydro,1.5,0,0,0.8,
Togo,n,oceania,73.10%,232,169.6,hydro,165.1,0,0,4.4,
Tokelau,n,oceania,0,0,1.3,solar,0,0,0,1.3,
Tonga,n,oceania,0,0,4.5,solar,0,0,0,4.5,
Trinidad and Tobago,n,namerica,0.00%,"10,712",4,solar,0,0,0,4,
Tunisia,n,africa,3.00%,"19,808",589,wind,45,474,0,70,
Turkey,n,asia,32.90%,"274,408",90248.1,hydro,67231,15517,1635,1046.1,4819
Turkmenistan,n,asia,0.00%,"22,534",0,solar,0,0,0,0,
Tuvalu,n,oceania,0,0,2.8,solar,0,0,0,2.8,
Uganda,n,africa,0,0,3594.3,hydro,3304.5,,252,37.8,
Ukraine,n,europe,5.60%,"164,573",9285.1,hydro,9304,954,169.1,491,
United Arab Emirates,n,asia,0.30%,"129,956",337.3,solar,0,0,6,331.3,
United Kingdom,y,europe,27.90%,"356,021","99,330",wind,"5,928","50,004","31,869","11,525",-
United States,n,namerica,14.70%,"4,322,038",637076,hydro,292113,229471,69017,50334,18584
US Virgin Islands,n,namerica,0,0,29.5,solar,0,0,0,29.5,
Uruguay,n,samerica,96.50%,"13,238","12,795",hydro,7842.2,2994.3,2432.7,153.1,
Uzbekistan,n,asia,25.60%,"58,319",14901.2,hydro,14896.4,0,0,4.8,
Vanuatu,n,oceania,0,0,29.9,biomass,7.6,5,11.9,5.4,
Venezuela,n,samerica,67.60%,"112,577",76098.7,hydro,76003.5,88.3,0,6.9,
Vietnam,n,asia,38.60%,"164,832",63654,hydro,63105.1,209.8,332,7,
Yemen,n,asia,10.90%,"5,045",549,solar,0,0,0,549,
Zambia,n,africa,95.00%,"11,695",11107.8,hydro,11026.6,0,76,5.2,
Zimbabwe,n,africa,51.90%,"7,055",3658.4,hydro,3550.9,0,95.3,12.2,
